"About us","Chi siamo"
"Account Mode","Modalità del conto"
"accountmode-comment","Se messo su 'Test' il modulo utilizza il sistema test Hipay altrimenti utilizza il sistema live.<br/><span class=""notice"">Attenzione, separate i conti per ogni sistema. Per maggiori informazioni consultate 'Come configurare Hipay'.</span>"
"Age Classification","Classificazione Età"
"ageclassification-comment","Indicare l'età minima per gli acquirenti"
"at","presso"
"Australian Dollar","Dollari Australiani"
"British Pound","Sterline Inglesi"
"Buyer Information","Informazioni acquirente"
"Canadian Dollar","Dollari Canadesi"
"Contact","Contatti"
"CUSTOMER EMAIL","EMAIL CLIENTE"
"DATE","DATA"
"Easy to use","Facile da utilizzare"
"Enabled","Abilitato"
"Error! Check your logs, please!","Errore! Per cortesia controlla i tuoi logs!"
"Euro","Euro"
"For ages 12 and over","Dai 12 anni e oltre"
"For ages 16 and over","Dai 16 anni e oltre"
"For ages 18 and over","Dai 18 anni e oltre"
"For all ages","Per tutte le età"
"General Extension Settings","Estensione delle impostazioni generali"
"Help and Support","Aiuto e Supporto"
"Hipay Account","Conto Hipay"
"Hipay Merchant Password","Hipay Password commerciante"
"Hipay payment failed","Pagamento Hipay fallito"
"Hipay payment loaded","Pagamento hipay caricato"
"Hipay payment notification","Hipay notifica di pagamento"
"hipay&trade; is a product of HPME a subsidiary of the","hipay&trade; è un prodotto di HPME una filiale del Gruppo hi-media."
"hipay-account-field-comment","Il numero ID del conto Hipay su cui questo sito è registrato.<br/><span class=""notice"">Questo è il vostro conto principale. Fate <span style=""font-weight: bold;"">not</span> utilizzate <span style=""font-style: italic;"">member area id</span> here!</span>"
"hipay-merchant-password-comment","La password commerciante del conto Hipay sul quale il sito è registrato (non è la password di identificazione!).<br /><span class=""notice"">Per creare una nuova password commerciante: Accedere al conto Hipay, anadate su <span style=""font-style: italic;"">Payment buttons</span> dove trovate l'elenco dei siti registrati. Cliccate sul <span style=""font-style: italic;"">site informations</span> bottone del sito di riferimento. Inserite la vostra <span style=""font-style: italic;""> password commerciante</span> e cliccate su conferma. Non dimenticatevi di inserire qui anche la vostra nuova password.</span>"
