"About us","Om os"
"Account Mode","Kontotilstand"
"accountmode-comment","Når kontotilstanden er sat til 'Test', forbinder modulet til Hipays test-system, ellers forbinder modulet til live-systemet.<br/><span class=""notice"">Bemærk venligst at test-tilstanden behøver en speciel Hipay-konto på på test-systemet. Mere information findes under tab'en 'Hvordan man konfigurerer Hipay'.</span>"
"Age Classification","Aldersgrænse"
"ageclassification-comment","Definér køberens minimumsalder"
"at","ved"
"Australian Dollar","Australsk Dollar"
"British Pound","Britisk Pund"
"Buyer Information","Køberinformation"
"Canadian Dollar","Canadisk Dollar"
"Contact","Kontakt"
"CUSTOMER EMAIL","KUNDENS E-MAIL-ADRESSE"
"DATE","DATO"
"Easy to use","Let at bruge"
"Enabled","Aktiveret"
"Error! Check your logs, please!","Fejl! Check venligst log-filer!"
"Euro","Euro"
"For ages 12 and over","12 år og ældre"
"For ages 16 and over","16 år og ældre"
"For ages 18 and over","18 år og ældre"
"For all ages","For alle aldersgrupper"
"General Extension Settings","Generelle indstillinger for udvidelser"
"Help and Support","Hjælp og support"
"Hipay Account","Hipay Forhandler-konto"
"Hipay Merchant Password","Hipay Forhandler-password"
"Hipay payment failed","Hipay betaling fejlede"
"Hipay payment loaded","Hipay-betaling hentet"
"Hipay payment notification","Meddelelse om Hipay-betaling"
"hipay&trade; is a product of HPME a subsidiary of the","hipay&trade; er et produkt fra HPME, et datterselskab af"
"hipay-account-field-comment","ID for den Hipay Forhandler-konto, som sitet blev oprettet under.<br/><span class=""notice"">Dette er en hovedkonto. Indtast ikke <span style=""font-weight: bold;"">ikke</span> ID'et for dit <span style=""font-style: italic;"">Brugerområde</span> her!</span>."
"hipay-merchant-password-comment","Forhandler-password for sitet (ikke passwordet, som anvendes til login på systemet!).<br /><span class=""notice"">Angivelse af nyt Forhandler-password: Log ind på med din Hipay Forhandler-konto og klik på menupunktet <span style=""font-style: italic;"">Betalingsknapper</span>, hvor du finder en liste med de sites, du har sat op. Klik på symbolet <span style=""font-style: italic"";>Site-Information</span> for det relevante site. der entsprechenden Site. Indtast derefter dit <span style=""font-style: italic;"">Forhandler-password</span> og klik på <span style=""font-style: italic;"">Godkend</span>. Husk også at taste dit password in her.</span>"
"hipay_accountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px;  background-color:#D1DEDF;"">Hvad du skal indstille her:</span><br /><ul style=""list-style:square outside none;  padding-left:15px;""><li>Anfør dine Hipay Forhandler-kontoinformationer (Konto-ID, Site-Passwort og Site-ID).</li><li>Definition af bestillingskategori og aldersbegrænsning.</li><li>Anførelse af email-adresse til betalingsmeddelelser.</li></ul>Flere informationer findes under tab'en <span style=""font-style: italic;"">Hvordan man konfigurerer Hipay</span>."
"hipay_extendedaccountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Hvad du kan indstille her:</span><br /><ul style=""list-style:square outside none;  padding-left:15px;""><li>Ændr driftstatus til 'Test' for at sætte denne udvidelse i test-modus.</li><li>Fastlæggelse af et logo for betalingsvinduet.</li> <li>Fastlæggelse af andre Hipay-kontoer for at splitte totalbeløbet i delbeløb.<p>Hermed kan du splitte totalbeløbet op i følgende delbeløb: Produkter og Forsendelse.<br />Af denne grund er det nødvendigt - med et par kliks  - at lave en underkonto i din Hipay-konto.</p></li></ul>"
"hipay_general_groupcomment","<span style=""font-weight:bold; padding-bottom:3px;  background-color:#D1DEDF;"">Hvad du her kan indstille:</span><br /><ul style=""list-style:square outside none;  padding-left:15px;""><li>Aktivér denne betalingsmetode</li><li>Udvælg i hvilke lande denne betalingsmetode skal være aktiv</li></ul>"
"hipay_howto_groupcomment","For at udnytte denne udvidelse skal du oprette en Forhandler-konto hos Hipay.<br />Åbn derefter tab'en <span style=""font-style: italic;"">Hipay Forhandler-konto</span> og anfør her Hipay-kontoinformationer. Udvidelsen er dermed fuldstændigt konfigureret. <br />Aktivér nu udvidelsen på tab'en <span style=""font-style: italic;"">Generelle indstillinger</span>.<br />Fertig!<div style=""margin-top:10px;""><a href=""https://www.hipaywallet.com/"" target=""_blank"">Oprettelse af Hipay Forhandler-konto på hipay.com</a>.<br /><br /></div>"
"hipay_support_groupcomment","<span style=""font-weight:bold; padding-bottom:3px;  background-color:#D1DEDF;"">Hvor du kan finde hjælp:</span><p>Ved spørgsmål til denne udvidelse, forbedringsforslag eller hvis du mener, du har fundet en fejl, send venligst en email til  <a href=""mailto:support.wallet@hipay.com"">support.wallet@hipay.com</a>.</p><p>Ved alle andre spørgsmål, fx hvis du har et problem med en betaling, kan du benytte vores  <a href=""https://www.hipaywallet.com/info/contact"" target=""_blank"">kontaktformular</a> på hipay.com</p>"
"How to setup Hipay","Hvordan man sætter Hipay op"
"Item Account","Produkt-Konto"
"itemaccountid-comment","Konto-ID for (under)kontoen hvor betalte beløb for produkter skal indsættes.<br /><span class=""notice"">Hvis dette felt er tomt, bliver <span style=""font-style: italic;"">Hipay Forhandler-kontoen</span> anvendt.</span>"
"Live","Live"
"Local means of payment","Lokale betalingsmåder"
"logourl-comment","Når en logo-URL er defineret, bliver dette logo vist i betalingsvinduet.<br/><span class=""notice"">Logoet skal være i GIF, PNG eller JPG (JPEG) format og stå til rådighed over internet via HTTPS-protokollen. Logoet må ikke være større end 100x100 pixels.</span>"
"Merchant Logo URL","URL for shop-logo"
"Merchant Site Id","Site ID"
"merchant-site-id-comment","ID for sitet, som blev oprettet under den ovenstående Forhandler-konto.<br/><span class=""notice"">For at få et Site ID skal du oprette din Onlineshop URL under din Hipay Forhandler-konto. Du finder denne indstilling under menuen <span style=""font-style: italic;"">Betalingsknapper</span></span>."
"No order for processing found!","Ingen ordre blev fundet!"
"No registration required","Ingen registrering nødvendig"
"Notification E-Mail Address","Email-adresse til meddelelser"
"notificationemail-comment","På denne email-adresse sender Hipay dig meddelelser om alle betalinger."
"OPERATION","PROCES"
"Optional Settings","Andre indstillinger"
"Order","Bestilling"
"Order Category","Bestillingskategori"
"ordercategory-comment","Vælg bestillingskategori her<br /><span class=""notice"">En liste af tilgængelige kategorier for dit site (baseret på et udvalg af <span style=""font-style: italic;"">Hovedtema</span> og <span style=""font-style: italic;"">Undertema</span>, som du har defineret for dit site .<br />1. Vælg nu <span style=""font-style: italic;"">Site-ID</span><br /> 2. Klik på  <span style=""font-style: italic;"">Gem konfiguration</span><br />3. Listen af <span style=""font-style: italic;"">bestillingskategorier</span> bliver opdateret.<br />4. Valg en passende kategori og klik igen på <span style=""font-style: italic;"">Gem konfiguration</span>.</span>"
"Over 15 payment types accepted, including local ones","Over 15 betalingsmåder accepteret, inkl. Lokale"
"PAID AMOUNT","BELØB"
"Payment from applicable countries","Betaling fra relevante lande"
"Payment from specific countries","Betaling fra bestemte lande"
"Payment has been canceled by customer","Betalingen blev annulleret af kunden"
"Please enter 'Merchant Site Id' first and save config!","Indtast venligst 'Forhandler Site ID' først og gem indstillinger!"
"Secure","Sikker"
"Secure online payment solution","Sikker online betalingsløsning"
"Shipping Account","Konto til Forsendelsesomkostninger"
"shippingaccountid-comment","Konto-ID for (under)kontoen hvor betalte beløb for Forsendelsesomkostninger skal indsættes.<br /><span class=""notice"">Hvis dette felt er tomt, bliver <span style=""font-style: italic;"">Hipay Forhandler-kontoen anvendt.</span> verwendet.</span>"
"Shopping cart","Varekurv"
"Sort order","Sorteringsrækkefølge"
"STATUS","STATUS"
"Swedish Crone","Svensk Krone"
"Test","Test"
"The customer has successfully paid via Hipay","Kunden har betalt med Hipay"
"The customer was redirected to Hipay","Kunden blev viderestillet til Hipay"
"This is what you can expect when you pay with hipay:","Dette er, hvad du kan forvente, når du betaler med Hipay:"
"TRANSACTION ID","TRANSAKTIONS-ID"
"US Dollar","US Dollar"
"You will be redirected to Hipay ...","Du bliver viderestillet til Hipay..."
"You will be redirected to our secure payment page when you complete your order.","Du bliver viderestillet til vores sikrede betalingsside, hvor du kan afslutte din ordre."
"Your order has been canceled because the payment process failed.","Din bestilling er annulleret, fordi betalingsprocessen fejlede."
"Your order has been canceled because you have canceled the payment process.","Din bestilling er blevet annulleret, fordi du annullerede betalingsprocessen."
"text_1","A solution available without VAD's contracts"
"text_2","Free installation and no subscription fee"
"text_3","An integrated anti-fraud unit for more safety"
"text_4","Customizable payment pages with responsive design"
"text_5","More than 15 local and international payment solutions"
