"About us","О компании"
"Account Mode","Режим Счета"
"accountmode-comment","Если программа установлена в 'Test' режиме Hipay будет использован в режиме испытания. В противном случае программа используется в "живом" режиме.<br/><span class=""notice"">Обратите внимание, у вас должны быть отдельные счета для каждого режимa. См. раздел "Как настроить Hipay" для получения дополнительной информации.</span>"
"Age Classification","Классификация по возрасту"
"ageclassification-comment","Заметки о Классификация по возрасту"
"at","в"
"Australian Dollar","Австралийский доллар"
"British Pound","Британский фунт стерлингов"
"Buyer Information","Информация о Покупателе"
"Canadian Dollar","Канадский доллар"
"Contact","Kонтакт"
"CUSTOMER EMAIL","EMAIL клиента"
"DATE","дата"
"Easy to use","Легка в использование"
"Enabled","Включено"
"Error! Check your logs, please!","Ошибка! Проверьте внесенное пожалуйста!"
"Euro","Евро"
"For ages 12 and over","Для возрастa 12 лет и старше"
"For ages 16 and over","Для возрастa 16 лет и старше"
"For ages 18 and over","Для возрастa 18 лет и старше"
"For all ages","Для всех возрастов"
"General Extension Settings","Общие параметры"
"Help and Support","Справка и поддержка"
"Hipay Account","Hipay счет"
"Hipay Merchant Password","Hipay Пароль продавца"
"Hipay payment failed","Hipay платеж не прошел"
"Hipay payment loaded","Hipay оплата загрузилась"
"Hipay payment notification","Hipay уведомление об оплате"
"hipay&trade; is a product of HPME a subsidiary of the","Hipay™, продукт HPME является субсидией Hi-media Group"
"hipay-account-field-comment","Номер счета Hipay, на котором этот магазин сайт зарегистрирован.<br/><span class=""notice"">Обычно это номер вашего основного счета, но не ID вашей подписки!</span>"
"hipay-merchant-password-comment","Пароль Hipay, на котором магазин сайт введен (это не является Логин Пароль!).<br /><span class=""notice"">Чтобы установить новый пароль: Войдите в Hipay, перейдите к кнопкам Оплаты, где вы cможете найти список ваших зарегистрированных сайтов. Нажмите на кнопку соответствующего сайт информации. Введите пароль и нажмите на ссылку подтверждениe. Не забудьте ввести здесь новый пароль.</span>"
"hipay_accountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Что вы должны сделать здесь: </span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Установите данные счета (пароль и ID сайта).</li><li>Выберете категорию порядка и возрастную классификацию.</li><li>Установите EMAIL адрес  для уведомлений об оплате.</li></ul>Для получения дополнительной информации, перейдите по ссылке Как настроить Hipay выше."
"hipay_extendedaccountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Что вы можете сделать здесь:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Изменить режим счета на "тест" и запустить программу в пробном режиме.</li><li>Установить собственное лого для использования его при оплате.</li><li>Разделить количество платежей по различным счететам.<p>Вы можете автоматически разделить сумму платежа в одно или в несколько из следующих категорий: продукт или доставка.<br />В результате чего, вы должны будете создать различные суб счета для каждой из частичных сумм под вашим главным счетом Hipay.</p></li></ul>"
"hipay_general_groupcomment","Что вы можете сделать здесь: Включить способ оплаты. Выбрать местность, где этот метод оплаты должн быть доступны."
"hipay_howto_groupcomment","Для использования этого расширения необходимо создать личный кабинет на Hipay.com и сохранить в нем информацию о вашем магазине.<br />Затем перейдите на вкладку <span style=""font-style: italic;"">Hipay счет</span> и введите необходимые данные счета, после чего настройка законченна.<br />Включите Hipay как новый метод оплаты на вкладке <span style=""font-style: italic;"">Общие настройки модуля</span>.<br />.<br />Сделано! <div style=""margin-top:10px;""><a href=""https://www.hipaywallet.com/"" target=""_blank"">Создание счета на hipay.com прошло успешно!</a><br /><br /></div>"
"hipay_support_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Где можно найти помощь:</span><p>Если у вас есть вопросы о нашей программе, предложения по улучшению или если вы нашли ошибку, пожалуйста, напишите письмо <a href=""mailto:support.wallet@hipay.com"">support.wallet@hipay.com</a>.</p><p>По любому другому вопросу, например, Если у вас проблема с одной из ваших платежных операций, пожалуйста, воспользуйтесь <a href=""https://www.hipaywallet.com/info/contact"" target=""_blank"">формой обратной связи</a> на Нipay.com</p>"
"How to setup Hipay","Как настроить Hipay"
"Item Account","Пункт счета"
"itemaccountid-comment","ID (суб) счета, в который сумма, уплаченная за товар будут перечислена.<br /><span class=""notice"">Если оставить это поле пустым, то сумма будет пречилсена на счет Hipay.</span>"
"Live","Живой режим"
"Local means of payment","Местные средства платежа"
"logourl-comment","Если лого URL было введено, оно будет показано на экране оплаты в том случае если лого было сохранено в формате GIF, PNG или JPG (JPEG),  доступно в Интернете по протоколу HTTPS и не превышает размера 100x100 пикселей."
"Merchant Logo URL","Продавца Logo URL"
"Merchant Site Id","Продавца Site ID"
"merchant-site-id-comment","ID выбранного сайта.<br/><span class=""notice"">Чтобы получить ID сайта необходимо зарегистрировать свой магазин в Hipay. Вы можете найти регистрационную опцию под меню <span style=""font-style: italic;"">пункт оплаты'</span>.</span>"
"No order for processing found!","Заказ для обработки не найден!"
"No registration required","Регистрация не требуется"
"Notification E-Mail Address","EMAIL который будет использован для уведомлений"
"notificationemail-comment","EMAIL адрес Hipay будет использовать для уведомлений."
"OPERATION","функции"
"Optional Settings","Дополнительные настройки"
"Order","Заказ"
"Order Category","Категория Заказа"
"ordercategory-comment","Выберите категорию.<br /><span class=""notice"">Список категорий (на основе выбранного типа бизнеса и категории для вашего сайта на Hipay) будет показан. <br />1. Введите ID сайта <br />2. Нажмите на <span style=""font-style: italic;"">Сохранить Config</span><br />3. <span style=""font-style: italic;"">Заказать категории</span> Список будет обновлен. <br />4. Выберите нужную категорию и нажмите на кнопку <span style=""font-style: italic;"">Сохранить Config</span> еще раз.</span>"
"Over 15 payment types accepted, including local ones","Принимаются более чем 15 разновидностей оплат, в том числе и местные"
"PAID AMOUNT","Выплаченная сумма"
"Payment from applicable countries","Оплата из соответствующих стран"
"Payment from specific countries","Оплата из конкретных стран"
"Payment has been canceled by customer","Оплата была отменена клиентом"
"Please enter 'Merchant Site Id' first and save config!","Пожалуйста, введите  'Торговый ID сайта' затем сохраните конфигурацию!"
"Secure","Безопасность обеспечена"
"Secure online payment solution","Безопасность платежа по Интернету обеспечена"
"Shipping Account","Адрес счета для доставки"
"shippingaccountid-comment","ID(суб) счета, на который сумма платежа будет начислена.<br /><span class=""notice"">Если оставить это поле пустым, то сумма будет начислена на счет Hipay.</span>"
"Shopping cart","Корзина"
"Sort order","Порядок сортировки"
"STATUS","СТАТУС"
"Swedish Crone","Шведская Крона"
"Test","Проверка"
"The customer has successfully paid via Hipay","Клиент успешно заплатил через Hipay"
"The customer was redirected to Hipay","Клиент был перенаправлен на Hipay"
"This is what you can expect when you pay with hipay:","Что вы можете ожидать используя Нipay:"
"TRANSACTION ID","ID транзакции"
"US Dollar","Доллар США"
"You will be redirected to Hipay ...","Вы будете перенаправлены на Hipay ..."
"You will be redirected to our secure payment page when you complete your order.","Вы будете перенаправлены на безопасную страницу оплаты после завершения вашего заказа."
"Your order has been canceled because the payment process failed.","Ваш заказ был отменен, поскольку процесс оплаты не удался."
"Your order has been canceled because you have canceled the payment process.","Ваш заказ был отменен, потому что вы отменили процесс оплаты"
"text_1","A solution available without VAD's contracts"
"text_2","Free installation and no subscription fee"
"text_3","An integrated anti-fraud unit for more safety"
"text_4","Customizable payment pages with responsive design"
"text_5","More than 15 local and international payment solutions"
