"About us","Über uns"
"Account Mode","Betriebsmodus"
"accountmode-comment","Wenn der Betriebsmodus auf 'Test' gestellt wird verbindet sich das Modul mit dem Hipay-Testsystem, andernfalls wird das produktive System ('Live') verwendet.<br/><span class=""notice"">Beachten Sie bitte, dass für den Betrieb im Testmodus ein gesondertes Hipaykonto auf dem Testsystem eingerichtet werden muss. Auf dem Reiter 'Wie man Hipay konfiguriert' finden Sie weitere Informationen.</span>"
"Age Classification","Alterseinstufung"
"ageclassification-comment","Legen Sie das Mindestalter für Käufer fest."
"at","bei"
"Australian Dollar","Australischer Dollar"
"British Pound","Britisches Pfund"
"Buyer Information","Käuferinformationen"
"Canadian Dollar","Kanadischer Dollar"
"Contact","Kontakt"
"CUSTOMER EMAIL","KUNDEN E-MAIL-ADRESSE"
"DATE","ZEITPUNKT"
"Easy to use","Einfach zu benutzen"
"Enabled","Aktiviert"
"Error! Check your logs, please!","Fehler! Bitte prüfen Sie Ihre Logs!"
"Euro","Euro"
"For ages 12 and over","12 Jahre und älter"
"For ages 16 and over","16 Jahre und älter"
"For ages 18 and over","18 Jahre und älter"
"For all ages","Für alle Altersgruppen"
"General Extension Settings","Allgemeine Einstellungen"
"Help and Support","Hilfe und Unterstützung"
"Hipay Account","Hipay Händlerkonto"
"Hipay Merchant Password","Hipay Verkäufer-Passwort"
"Hipay payment failed","Hipay-Bezahlvorgang ist fehlgeschlagen"
"Hipay payment loaded","Hipay-Bezahlvorgang geladen"
"Hipay payment notification","Benachrichtigung zum Hipay-Bezahlvorgang"
"hipay&trade; is a product of HPME a subsidiary of the","hipay&trade; ist ein Produkt von HPME einer Tochtergesellschaft der"
"hipay-account-field-comment","ID des Hipay Händlerkontos unter welchem die Site angelegt wurde.<br/><span class=""notice"">Üblicherweise handelt es sich dabei um Ihr Hauptkonto. Tragen Sie hier <span style=""font-weight: bold;"">nicht</span> die ID Ihres <span style=""font-style: italic;"">Benutzerbereichs</span> ein!</span>."
"hipay-merchant-password-comment","Verkäufer-Passwort der Site (es handelt sich nicht um das Kennwort zur Anmeldung!).<br /><span class=""notice"">Setzen eines neuen Verkäufer-Passworts: Melden Sie sich mit Ihrem Händlerkonto bei Hipay an, klicken Sie auf den Menüpunkt <span style=""font-style: italic;"">Zahlungsbuttons</span>, unter dem Sie eine Liste der von Ihnen definierten Sites finden. Klicken Sie auf das Symbol <span style=""font-style: italic;"">Site-Informationen</span> der entsprechenden Site. Tragen Sie Ihr <span style=""font-style: italic;"">Verkäufer-Passwort</span> ein und klicken Sie auf <span style=""font-style: italic;"">Bestätigung</span>. Vergessen Sie nicht, das neue Passwort auch hier einzutagen.</span>"
"hipay_accountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Was Sie hier einstellen müssen:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Hinterlegen Sie Ihre Hipay-Kontodaten (Konto-ID, Site-Passwort und Site-ID).</li><li>Festlegen der Bestellkategorie und der Alterseinstufung.</li><li>Festlegen der E-Mail-Adresse für Zahlungsbenachrichtigungen.</li></ul>Weitere Informationen finden Sie auf dem Reiter <span style=""font-style: italic;"">Wie man Hipay konfiguriert</span>."
"hipay_extendedaccountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Was Sie hier einstellen können:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Ändern des Betriebsmodus auf 'Test' um diese Erweiterung im Testmodus zu betreiben.</li><li>Festlegen eines eigenen Logos für den Zahlungsdialog.</li> <li>Festlegen abweichender Hipaykonten um den Gesamtbetrag in Teilbeträge aufzuspalten.<p>Sie können den Gesamtbetrag dabei in die folgenden Teilbeträge aufspalten lassen: Produkte und Versand.<br />Als folge daraus, müssen Sie für jeden Teilbetrag mit wenigen Klicks ein eigenes Unterkonto in Ihrem Hipaykonto erstellen.</p></li></ul>"
"hipay_general_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Was Sie hier einstellen können:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Diese Zahlungsmethode aktivieren</li><li>Die Länder auswählen, in denen diese Zahlungsmethode verfügbar sein soll.</li></ul>"
"hipay_howto_groupcomment","Um diese Erweiterung nutzen zu können, müssen Sie sich ein Händlerkonto auf hipay.com anlegen.<br />Öffnen Sie anschließend den Reiter <span style=""font-style: italic;"">Hipay Händlerkonto</span> und hinterlegen Sie dort die Hipay-Kontodaten. Die Erweiterung ist damit vollständig konfiguriert.<br />Aktivieren Sie nun die Erweiterung auf dem Reiter <span style=""font-style: italic;"">Allgemeine Einstellungen</span>.<br />Fertig!<div style=""margin-top:10px;""><a href=""https://www.hipaywallet.com/"" target=""_blank"">Händlerkonto anlegen auf hipay.com</a>.<br /><br /></div>"
"hipay_support_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Wo Sie Hilfe finden:</span><p>Bei Fragen zu dieser Erweiterung, Verbesserungsvorschlägen oder wenn Sie glauben, dass Sie einen Fehler gefunden haben senden Sie bitte eine E-Mail an <a href=""mailto:support.wallet@hipay.com"">support.wallet@hipay.com</a>.</p><p>Für alle anderen Fragen, z.B. wenn Sie ein Problem mit einer Zahlungstransaktion haben, benutzen Sie bitte unser <a href=""https://www.hipaywallet.com/info/contact"" target=""_blank"">Kontaktformular</a> auf hipay.com</p>"
"How to setup Hipay","Wie man Hipay konfiguriert"
"Item Account","Produkt-Konto"
"itemaccountid-comment","Konto-ID des (Unter-)Kontos dem die gezahlten Beträge für die Produkte gutgeschrieben werden.<br /><span class=""notice"">Ist dieses Feld leer, wird das <span style=""font-style: italic;"">Hipay Händlerkonto</span> verwendet.</span>"
"Live","Live"
"Local means of payment","Lokale Zahlungsmethoden"
"logourl-comment","Wenn eine Logo-URL eingetragen wurde, wird das Logo im Bezahldialog angezeigt.<br/><span class=""notice"">Das Logo, im GIF, PNG oder JPG (JPEG) Format muss im Internet über das HTTPS Protokoll erreichbar sein. Das Logo darf die Größe von 100x100 Pixeln nicht überschreiten.</span>"
"Merchant Logo URL","URL des Shop-Logos"
"Merchant Site Id","Site ID"
"merchant-site-id-comment","ID der Site die unter obigem Händlerkonto angelegt wurde.<br/><span class=""notice"">Um eine Site ID zu erhalten tragen Sie Ihre Onlineshop URL unter Ihrem Hipay Händlerkonto ein. Sie finden die Option dazu unter dem Menüeintrag <span style=""font-style: italic;"">Zahlungsbuttons</span></span>."
"No order for processing found!","Es wurde keine Bestellung gefunden!"
"No registration required","Keine Registrierung notwendig"
"Notification E-Mail Address","E-Mail-Adresse für Benachrichtigungen"
"notificationemail-comment","An diese E-Mail-Adresse sendet Ihnen Hipay Benachrichtungen über alle Zahlungsvorgänge."
"OPERATION","VORGANGSART"
"Optional Settings","Optionale Einstellungen"
"Order","Bestellung"
"Order Category","Bestellkategorie"
"ordercategory-comment","Wählen Sie die Bestellkategorie<br /><span class=""notice"">Eine Liste der verfügbaren Kategorien für Ihre Seite (basierend auf der Auswahl von <span style=""font-style: italic;"">Haupthema</span> und <span style=""font-style: italic;"">Nebenthema</span> die Sie für Ihre Seite festgelegt haben).<br />1. Tragen Sie zunächst die <span style=""font-style: italic;"">Site-ID</span> ein<br /> 2. Klicken Sie auf <span style=""font-style: italic;"">Konfiguration speichern</span><br />3. Die Liste der <span style=""font-style: italic;"">Bestellkategorien</span> wird aktualisiert.<br />4. Wählen Sie eine passende Kategorie aus und klicken Sie erneut auf <span style=""font-style: italic;"">Konfiguration speichern</span>.</span>"
"Over 15 payment types accepted, including local ones","Über 15 akzeptierte Zahlungsmethoden, einschließlich lokaler Zahlungsmethoden"
"PAID AMOUNT","BETRAG"
"Payment from applicable countries","Zahlung aus zugelassenen Ländern"
"Payment from specific countries","Zahlung von bestimmten Ländern"
"Payment has been canceled by customer","Der Kunde hat den Zahlvorgang abgebrochen"
"Please enter 'Merchant Site Id' first and save config!","Bitte zuvor 'Händler Site Id' eintragen und Konfiguration speichern!"
"Secure","Sicher"
"Secure online payment solution","Sicher Online Bezahlen"
"Shipping Account","Versankosten-Konto"
"shippingaccountid-comment","Konto-ID des (Unter-)Kontos dem die gezahlten Beträge für die Versandkosten gutgeschrieben werden.<br /><span class=""notice"">Ist dieses Feld leer, wird das <span style=""font-style: italic;"">Hipay Händlerkonto</span> verwendet.</span>"
"Shopping cart","Warenkorb"
"Sort order","Reihenfolge"
"STATUS","STATUS"
"Swedish Crone","Schwedische Krone"
"Test","Test"
"The customer has successfully paid via Hipay","Der Kunde hat erfolgreich mit Hipay bezahlt."
"The customer was redirected to Hipay","Der Kunde wurde zu Hipay weitergeleitet"
"This is what you can expect when you pay with hipay:","Dies können Sie erwarten, wenn Sie mit hipay bezahlen:"
"TRANSACTION ID","TRANSAKTIONS-ID"
"US Dollar","US Dollar"
"You will be redirected to Hipay ...","Sie werden zu Hipay weitergeleitet..."
"You will be redirected to our secure payment page when you complete your order.","Sie werden auf unsere sichere Bezahlseite weitergeleitet, wenn Sie Ihre Bestellung abschließen."
"Your order has been canceled because the payment process failed.","Ihr Bestellvorgang wurde abgebrochen, da während des Bezahlvorgangs ein Fehler augetreten ist."
"Your order has been canceled because you have canceled the payment process.","Ihr Bestellvorgang wurde abgebrochen, da Sie den Bezahlvorgang abgebrochen haben."
"text_1","A solution available without VAD's contracts"
"text_2","Free installation and no subscription fee"
"text_3","An integrated anti-fraud unit for more safety"
"text_4","Customizable payment pages with responsive design"
"text_5","More than 15 local and international payment solutions"
